index,SEP_onset_time,ln_peak_intensity,peak_intensity,target,CME_DONKI_time,CME_DONKI_latitude,CME_DONKI_longitude,CME_DONKI_speed,CME_CDAW_time,CME_CDAW_MPA,CME_CDAW_LinearSpeed,VlogV,DONKI_half_width,Accelaration,2nd_order_speed_final,2nd_order_speed_20R,CPA,Halo,daily_sunspots,Type2_Viz_Area,solar_wind_speed,CMEs_in_past_month,CMEs_in_past_9hours,CMEs_with_speed_over_1000_in_past_9hours,max_CME_speed_in_past_day,diffusive_shock,connection_angle_degrees,half_richardson_value
50,,-1.609437912,0.2,0,3/3/2011 6:24,-23,17,400,3/3/2011 6:12,204,263,1465.47651,30,4.4,337,380,169,0,73,0,605.7,4,1,0,400,1.19E-33,-30.65083561,-0.254049141
51,,-1.609437912,0.2,0,3/3/2011 21:24,13,-64,540,3/3/2011 20:57,87,430,2607.42764,40,11.9,602,593,78,0,73,0,619.8,5,1,0,540,2.83E-31,-100.693267,-2.741788541
52,,-1.609437912,0.2,0,3/4/2011 5:36,10,-66,400,3/4/2011 5:36,94,541,3404.73983,25,-7.9,422,476,89,0,99,0,579.8,6,2,0,540,1.19E-33,-105.2873441,-2.997681133
53,,-1.609437912,0.2,0,3/7/2011 14:40,15,-13,710,3/7/2011 14:48,53,698,4570.656934,35,-8.3,627,632,354,0,138,270000,396.3,7,1,0,710,1.47E-19,-71.50959948,-1.382807685
54,3/7/2011 21:40,3.914938751,50.146,1,3/7/2011 20:12,17,50,1980,3/7/2011 20:00,313,2125,16280.74505,45,-63.1,1862,2034,360,1,138,11850000,394.7,8,2,1,1980,2.38E-09,-18.76564999,-0.095227047
55,,-1.609437912,0.2,0,3/14/2011 7:24,32,-44,360,3/14/2011 7:24,59,361,2125.884943,38,7.7,436,518,59,0,61,0,571,9,1,0,360,1.72E-34,-85.03142263,-1.955203579
56,,-1.609437912,0.2,0,3/16/2011 20:18,17,75,690,3/16/2011 19:12,323,682,4450.070227,37,10.7,825,743,268,0,38,0,358.7,10,1,0,690,2.94E-22,20.21589788,-0.110514475
57,,-1.609437912,0.2,0,3/17/2011 13:09,-15,-150,900,3/17/2011 12:36,128,739,4881.315164,30,-8.4,663,679,156,0,38,0,408.3,10,1,0,900,5.24E-12,150.1332371,-6.095183584
58,3/21/2011 6:24,2.691785309,14.758,1,3/21/2011 2:54,20,130,1000,3/21/2011 2:24,274,1341,9656.770154,70,8,1389,1367,360,1,24,0,351,10,1,0,1000,5.39E-11,66.3262414,-1.189607977
59,,-1.609437912,0.2,0,3/27/2011 5:30,18,-120,990,3/27/2011 5:36,45,877,5942.996632,20,-20.2,718,762,54,0,118,0,318.6,10,1,0,990,4.53E-11,158.5116918,-6.794471725
60,,-1.609437912,0.2,0,3/28/2011 15:48,35,-140,500,3/28/2011 15:48,36,411,2473.641811,30,6.7,529,503,47,0,124,0,340.2,11,1,0,500,6.97E-32,136.6738077,-5.051306032
61,,-1.609437912,0.2,0,3/29/2011 20:36,6,-115,1320,3/29/2011 20:36,100,1264,9027.53423,66,-6,1227,1246,54,0,104,0,374.5,12,1,1,1320,8.31E-10,-172.9009797,-8.084031582
62,,-1.609437912,0.2,0,4/7/2011 6:12,-5,-20,550,4/7/2011 5:48,112,481,2970.592157,38,14,686,652,49,0,81,0,536.8,8,1,0,550,3.95E-31,-62.80802351,-1.066751708
63,,-1.609437912,0.2,0,4/7/2011 12:20,-37,140,990,4/7/2011 12:00,220,767,5094.787377,39,6.2,828,805,232,0,81,0,507.5,9,2,0,990,4.53E-11,93.86332169,-2.382456235
64,,-1.609437912,0.2,0,4/7/2011 20:24,-1,139,580,4/7/2011 20:57,326,414,2494.708513,33,-1.3,402,386,322,0,81,0,470.8,10,2,0,990,1.04E-30,90.31907085,-2.205931465
65,,-1.609437912,0.2,0,4/10/2011 3:12,50,-70,450,4/10/2011 2:48,295,309,1771.602455,20,2.2,323,371,291,0,56,0,369.8,11,1,0,450,1.02E-32,-115.4621028,-3.605056028
66,,-1.609437912,0.2,0,4/11/2011 23:05,20,60,550,4/11/2011 22:36,290,408,2452.597007,35,4,489,455,277,0,67,0,474.2,12,1,0,550,3.95E-31,23.03379852,-0.143471031
67,,-1.609437912,0.2,0,4/17/2011 1:25,37,-15,300,4/17/2011 1:25,48,218,1173.819924,45,5.1,329,364,46,0,71,0,329,10,1,0,300,5.98E-36,-85.73951104,-1.987902583
68,,-1.609437912,0.2,0,4/17/2011 15:54,9,155,1355,4/17/2011 15:36,149,465,2856.047394,30,-5.3,403,377,360,1,71,0,320.7,11,1,1,1355,9.48E-10,83.61451837,-1.890586177
69,,-1.609437912,0.2,0,4/24/2011 21:36,9,-131,455,4/24/2011 21:24,76,300,1711.134742,25,3.5,353,383,360,1,64,0,447.8,11,1,0,455,1.25E-32,170.7415659,-7.883364612
70,,-1.609437912,0.2,0,4/27/2011 2:48,25,-57,950,4/27/2011 2:36,62,924,6309.729954,20,4.6,966,943,32,0,73,0,367.7,11,1,0,950,2.02E-11,-116.3563752,-3.661115752
71,,-1.609437912,0.2,0,4/27/2011 7:48,35,150,640,4/27/2011 7:48,329,634,4090.599037,30,4.5,675,680,9,0,73,0,368,12,2,0,950,6.20E-30,88.1326768,-2.100424208
72,,-1.609437912,0.2,0,4/29/2011 20:48,-5,-105,270,4/29/2011 21:36,263,179,928.5420592,23,-7.5,152,0,250,0,62,0,488.8,11,1,0,270,8.47E-37,-151.4827675,-6.205253877
73,,-1.609437912,0.2,0,5/1/2011 14:24,18,-65,580,5/1/2011 14:24,62,310,1778.337412,32,1,331,331,70,0,70,0,617.3,12,1,0,580,1.04E-30,-101.5258151,-2.787315071
74,,-1.609437912,0.2,0,5/3/2011 15:54,15,40,620,5/3/2011 16:51,299,658,4269.896845,31,44.4,1081,946,287,0,71,0,584.5,13,1,0,620,3.49E-30,15.02024942,-0.061008083
