CME_DONKI_speed_norm,CME_DONKI_latitude_norm,CME_DONKI_longitude_norm,CME_CDAW_MPA_norm,CME_CDAW_LinearSpeed_norm,DONKI_half_width_norm,Halo,ln_peak_intensity
0.089416058,0.983146067,0.483333333,0.938888889,0.093720115,0.16091954,0,0
0.041970803,0.415730337,0.763888889,0.675,0.054510679,0.218390805,0,0
0.158394161,0.269662921,0.555555556,0.816666667,0.043991074,0.344827586,0,0
0.122992701,0.595505618,0.713888889,0.305555556,0.039528212,0.149425287,0,0
0.197080292,0.803370787,0.625,0.936111111,0.138986293,0.402298851,0,0
0.114963504,0.573033708,0.277777778,0.225,0.068218043,0.218390805,0,0
0.069343066,0.561797753,0.277777778,0.213888889,0.05674211,0.137931034,0,0
0.048175182,0.466292135,0.244444444,0.272222222,0.050366592,0.183908046,0,0
0.159854015,0.466292135,0.677777778,0.663888889,0.154287536,0.172413793,0,0
0.27919708,0.47752809,0.744444444,0.713888889,0.248645202,0.390804598,0,0
0.037226277,0.528089888,0.661111111,0.777777778,0.05833599,0.057471264,0,0
0.064233577,0.573033708,0.555555556,0.916666667,0.032833918,0.252873563,0,0
0.50729927,0.47752809,0.777777778,0.708333333,0.563595792,0.517241379,1,0
0.179562044,0.387640449,0.388888889,0.922222222,0.061842525,0.114942529,0,0
0.087591241,0.129213483,0.533333333,0.955555556,0.095313994,0.252873563,0,0
0.171532847,0.651685393,0.411111111,0.105555556,0.091807459,0.137931034,0,0
0.087591241,0.747191011,0.375,0.105555556,0.010838381,0.229885057,0,0
0.197080292,0.640449438,0.875,0.833333333,0.138667517,0.459770115,0,0
0.182481752,0.634831461,0.694444444,0.819444444,0.159069174,0.022988506,0,0
0.105839416,0.56741573,0.652777778,0.838888889,0.091488683,0.252873563,0,0
0.164233577,0.949438202,0.25,0.027777778,0.144405483,0.103448276,0,0
0.120437956,0.578651685,0.75,0.830555556,0.149824673,0.183908046,0,0
0.069343066,0.898876404,0.25,0.058333333,0.067580491,0.114942529,0,0
0.051094891,0.825842697,0.222222222,0.291666667,0.11667198,0.287356322,0,0
0.189416058,0.870786517,0.216666667,0.097222222,0.072680905,0.172413793,0,0
0.172262774,0.54494382,0.608333333,0.797222222,0.097864201,0.08045977,0,0
0.106934307,0.511235955,0.594444444,0.788888889,0.072999681,0.206896552,0,0
0.087591241,0.657303371,0.236111111,0.2,0.081925406,0.310344828,0,0
0.072627737,0.685393258,0.752777778,0.8,0.096907874,0.298850575,0,0
0.023722628,0.584269663,0.291666667,0.2,0.022951865,0.172413793,0,0
0.332116788,0.584269663,0.75,0.788888889,0.277653809,0.172413793,0,0
0.048540146,0.741573034,0.425,0.055555556,0.074912337,0.310344828,0,0
0.083941606,0.882022472,0.277777778,0.063888889,0.078100096,0.436781609,0,0
0.160583942,0.831460674,0.388888889,0.091666667,0.133567102,0.229885057,0,0
0.390510949,0.460674157,0.861111111,0.722222222,0.279247689,0.045977011,0,0
0.04379562,0.780898876,0.583333333,0.944444444,0.043353522,0.022988506,0,0
0.177007299,0.5,0.822222222,0.725,0.267452981,0.126436782,0,0
0.110583942,0.735955056,0.466666667,0.022222222,0.080012751,0.172413793,0,0
0.137591241,0.258426966,0.613888889,0.6,0.058017214,0.126436782,0,0
0.069343066,0.702247191,0.483333333,0.872222222,0.079693975,0.091954023,0,0
0.032846715,0.376404494,0.905555556,0.636111111,0.051641696,0.16091954,0,0
0.099635036,0.286516854,0.483333333,0.641666667,0.043672298,0.149425287,0,0
0.036861314,0.230337079,0.325,0.4,0.039846988,0.413793103,0,0
0.335766423,0.623595506,0.388888889,0.147222222,0.252789289,0.172413793,0,0
0.357664234,0.640449438,0.319444444,0.141666667,0.344277973,0.413793103,1,0
0.215328467,0.494382022,0.305555556,0.225,0.246413771,0.24137931,0,0
0.242335766,0.45505618,0.097222222,0.322222222,0.140898948,0.206896552,0,0
0.145985401,0.764044944,0.183333333,0.105555556,0.118903411,0.229885057,0,0
0.083576642,0.488764045,0.316666667,0.283333333,0.089576028,0.172413793,0,0
0.090875912,0.533707865,0.291666667,0.230555556,0.150781001,0.287356322,0,0
0.178832117,0.870786517,0.291666667,0.505555556,0.135479758,0.448275862,0,0
0.093065693,0.657303371,0.277777778,0.166666667,0.076506216,0.252873563,0,0
0.175182482,0.97752809,0.75,0.988888889,0.117628307,0.24137931,0,0
0.160583942,0.54494382,0.483333333,0.233333333,0.164807141,0.045977011,0,0
0.03649635,0.348314607,0.416666667,0.4,0.146318138,0.137931034,0,0
0.059489051,0.640449438,0.647222222,0.141666667,0.09021358,0.103448276,0,0
0.075912409,0.494382022,0.291666667,0.236111111,0.092763787,0.24137931,0,0
0.183576642,0.348314607,0.263888889,0.308333333,0.189990437,0.24137931,0,0
0.253649635,0.348314607,0.230555556,0.333333333,0.252151737,0.126436782,0,0
0.124452555,0.578651685,0.272222222,0.219444444,0.095951546,0.344827586,0,0
0.105839416,0.831460674,0.861111111,0.933333333,0.099139305,0.091954023,0,0
0.101094891,0.528089888,0.269444444,0.219444444,0.078100096,0.195402299,0,0
0.100364964,0.483146067,0.727777778,0.75,0.074912337,0.264367816,0,0
0.088321168,0.292134831,0.330555556,0.927777778,0.052916799,0.264367816,0,0
0.103649635,0.449438202,0.444444444,0.313888889,0.112846669,0.114942529,0,0
0.142335766,0.191011236,0.75,0.602777778,0.164488365,0.034482759,0,0
0.08649635,0.528089888,0.483333333,0.252777778,0.120816066,0.022988506,0,0
0.070072993,0.449438202,0.738888889,0.741666667,0.05833599,0.126436782,0,0
